factor,pearson_ic,clipped_ic,spearman_ic,n_obs
factor_dist_ma_10,-0.025309821504434227,-0.004391934116037081,-0.059710624708487293,56673
factor_mfi_14,0.012898010205015091,0.01355281826194321,-0.018787005477888516,56648
factor_dist_ma_50,-0.011246185888505221,0.0005575196967332016,-0.02727859253143713,56633
factor_ret_autocorr_12w,-0.01096259599010623,-0.010843516521768697,-0.012625487415251933,54665
factor_vol_price,-0.01052177179017712,0.007596798628117049,0.013133276413606185,56658
factor_vol_4w,0.00923678337143269,0.006719256950586599,0.006258125153697222,56010
factor_minus_di,-0.009032618087861979,-0.008753527601146779,0.021583257261394567,56669
factor_dmi_spread,0.008785720312843916,0.008226452492032918,-0.02311327228288927,56669
factor_mom_12w,0.008342247548851376,0.008639407519230504,0.00808696531804531,54666
factor_macd_signal,-0.00819845000975686,0.004505755635452017,-0.02891867814291424,56682
factor_plus_di,0.007539911710617743,0.00722066258213526,-0.02316783408394461,56669
factor_rsi_14,0.007067510780158231,0.007342714391116606,-0.030994460710602512,56668
factor_vol_12w,0.005857270797549195,0.005391602714718594,0.0036240062947670484,54666
factor_mom_4w,0.005009820853684925,0.009430032253515656,0.008108413540265914,56010
factor_rev_2w,-0.004046673719359868,-0.008839137410549645,-0.007434519187931023,56346
factor_bb_position_20,0.003767106435707769,0.0033581935121616484,-0.04727577888681227,56663
factor_range_pos,0.003458076968136404,0.004156760537559299,-0.03465043141524565,56635
factor_rev_1w,-0.003386423485063852,-0.006450944715779258,-0.0014679848963780081,56514
factor_mom_26w,0.003069243726267775,0.005484718512421923,0.00937580409406146,52314
factor_mom_52w,0.0025185081902850937,0.004587644866257127,0.009410462014564198,47946
factor_vol_change,0.002343392179353336,0.003276143413579226,0.004322878633611496,54666
factor_stc,0.001933323437586246,0.0019339918047499441,-0.024716884273807246,56664
factor_vol_26w,-0.0011589969643495462,-0.0011608909379727367,-0.0005973329689662998,52314
factor_adx,0.0001460431677797166,8.571416530475613e-05,0.003938748350128959,56656
