factor,q_high,q_low,annual_return,sharpe,max_drawdown,avg_hourly_turnover,avg_exposure,win_rate
factor_mfi_14,0.6,0.4,0.2246493499286597,0.6412588195999697,-2.87137282174561,0.2069227105128522,0.7970643755623379,0.3835256342401468
factor_mfi_14,0.7,0.30000000000000004,0.11734792909968217,0.4706190381016298,-4.3107878210420765,0.18654623079230104,0.5980099853571618,0.28462298436893546
factor_mfi_14,0.75,0.25,0.14512051334802267,0.5237458471853268,-3.3711423783787486,0.17031561491099625,0.4990737963763386,0.23686531879609046
factor_mfi_14,0.8,0.19999999999999996,0.03143593574275094,0.28314174237446277,-2.22651892420803,0.15073302401072633,0.4007727184517404,0.1882431812568364
factor_mfi_14,0.85,0.15000000000000002,0.056365294261939036,0.33321051162666154,-1.5171637550500081,0.12730448282553852,0.3035301589541838,0.1416322642108606
factor_ret_autocorr_12w,0.6,0.4,-0.1159321858540272,0.029795424786401504,-0.8620353178429894,0.02295220789301907,0.8314485824674065,0.41515825129670797
factor_ret_autocorr_12w,0.7,0.30000000000000004,-0.21619791322983628,-0.26348242127826843,-0.9453229600226524,0.024822257114125928,0.6791630647636857,0.3384672382767016
factor_ret_autocorr_12w,0.75,0.25,-0.2508769746875893,-0.4131483774334358,-0.9520501834032674,0.02221124499408994,0.5926644673006016,0.2949437211107583
factor_ret_autocorr_12w,0.8,0.19999999999999996,-0.23350529194991076,-0.41893539981470596,-0.946459014672766,0.02196425736111356,0.5154455480479156,0.2562365477576656
factor_ret_autocorr_12w,0.85,0.15000000000000002,-0.1310021867462099,-0.17075058510895538,-0.8453234482611551,0.0218584055184094,0.4341866167986874,0.21587099961186973
factor_mom_4w,0.6,0.4,0.21813514357359232,0.6305930735069132,-2.2680382274555364,0.025069244747102305,0.8501667166522591,0.4251614269080131
factor_mom_4w,0.7,0.30000000000000004,0.1172561975493942,0.4749912516534396,-1.7142159552449734,0.027750824762274404,0.7096836794100524,0.3543452948025828
factor_mom_4w,0.75,0.25,0.20869232199536958,0.6251066879617074,-1.6172280879305425,0.028033096342818836,0.6353404018841629,0.31722592710207825
factor_mom_4w,0.8,0.19999999999999996,0.1894285438372476,0.5980189070312754,-1.5577698859964437,0.03009720727554999,0.5517880140430111,0.27467273561271655
factor_mom_4w,0.85,0.15000000000000002,0.1558671284510762,0.5432535178605665,-1.4531443213919237,0.03073231833177496,0.4641250463101812,0.23023181962527786
factor_rev_2w,0.6,0.4,0.14660550091743096,0.5252644238717405,-1.297682496093306,0.04542808249386941,0.8217631388599757,0.411523940580784
factor_rev_2w,0.7,0.30000000000000004,0.2568772100231853,0.6966236718153057,-1.6139451670849527,0.03904168798405166,0.651165252368435,0.32654105359726193
factor_rev_2w,0.75,0.25,0.24473898450841625,0.68576202800749,-2.4956515942963615,0.03784203376673782,0.56540761780428,0.2832645284217212
factor_rev_2w,0.8,0.19999999999999996,0.11996169330152595,0.47607167105448495,-1.2885156516290017,0.03415486124587619,0.48026745232256585,0.2396351575456053
factor_rev_2w,0.85,0.15000000000000002,0.09244360975146804,0.42142797452864245,-1.1863133515749864,0.03394315756046787,0.39364536104299347,0.19558237182879926
factor_minus_di,0.6,0.4,-0.055402788378085654,0.18235158128125747,-1.7685672851595275,0.17036854083234831,0.7987580050456045,0.3820789668677887
factor_minus_di,0.7,0.30000000000000004,-0.08744721965057067,0.07187593758695528,-1.6797033370422858,0.1537145175802269,0.6013090344547748,0.28524046434494194
factor_minus_di,0.75,0.25,-0.06532671871366469,0.09469377874139602,-1.3799495642354578,0.14087116066545524,0.5028315367923363,0.23797678275290216
factor_minus_di,0.8,0.19999999999999996,-0.1257107574768389,-0.08607138369770387,-1.5301077748910747,0.12728684085175448,0.40456574281530616,0.18997212518965456
factor_minus_di,0.85,0.15000000000000002,-0.12122838256937674,-0.12344470489641288,-1.467898812845244,0.10925674364447895,0.30506501067339414,0.14304364701316113
